siret,siren,nic
40877891800123,408778918,00123
82422814201577,824228142,01577
82422814200223,824228142,00223
81272495300029,812724953,00029
82422814200264,824228142,00264
19660014200059,196600142,00059
82422814200306,824228142,00306
51906131100030,519061311,00030
79353557600029,793535576,00029
82422814201700,824228142,01700
41158137400013,411581374,00013
44531243200112,445312432,00112
19210018800031,192100188,00031
49538963700028,495389637,00028
19971405600025,199714056,00025
82422814201890,824228142,01890
82409268800186,824092688,00186
82200289500016,822002895,00016
82422814200579,824228142,00579
43326420700021,433264207,00021
82422814200678,824228142,00678
19830923900038,198309239,00038
82422814200751,824228142,00751
82422814200777,824228142,00777
19250011400025,192500114,00025
19590065900028,195900659,00028
82422814200835,824228142,00835
77568810400048,775688104,00048
82422814200934,824228142,00934
82409268800012,824092688,00012
82409268800053,824092688,00053
82409268800061,824092688,00061
19590258000065,195902580,00065
82422814201080,824228142,01080
82409268800095,824092688,00095
82422814201122,824228142,01122
80439745300015,804397453,00015
82422814201130,824228142,01130
82422814201148,824228142,01148
82409268800137,824092688,00137
82409268800178,824092688,00178
90386961800012,903869618,00012
82409268800160,824092688,00160
82409268800210,824092688,00210
82409268800244,824092688,00244
82422814201304,824228142,01304
30824995200133,308249952,00133
82422814200025,824228142,00025
77568810400071,775688104,00071
32434542000040,324345420,00040
34023989600087,340239896,00087
82422814201478,824228142,01478
82422814200132,824228142,00132
82422814201486,824228142,01486
40877891800065,408778918,00065
40877891800073,408778918,00073
40877891800107,408778918,00107
82422814201536,824228142,01536
40877891800131,408778918,00131
19510035900023,195100359,00023
13002172800014,130021728,00014
82422814201635,824228142,01635
89079142900016,890791429,00016
78360423400022,783604234,00022
19530081900016,195300819,00016
82422814201742,824228142,01742
82422814201759,824228142,01759
82422814201767,824228142,01767
89030380300013,890303803,00013
82422814201809,824228142,01809
19790706600025,197907066,00025
19350030300030,193500303,00030
19550002000027,195500020,00027
82422814201833,824228142,01833
19560013500014,195600135,00014
41093664500044,410936645,00044
82422814201841,824228142,01841
82422814201858,824228142,01858
78050734900097,780507349,00097
77518765100077,775187651,00077
82422814201882,824228142,01882
88763727000018,887637270,00018
81042434100024,810424341,00024
82069373700026,820693737,00026
19020050100038,190200501,00038
78050734900048,780507349,00048
78835426400020,788354264,00020
78050734900113,780507349,00113
78050734900121,780507349,00121
30207987600025,302079876,00025
78050734900139,780507349,00139
78835426400053,788354264,00053
78050734900147,780507349,00147
78835426400079,788354264,00079
78050734900154,780507349,00154
19840005300023,198400053,00023
78835426400087,788354264,00087
78835426400103,788354264,00103
19850028200035,198500282,00035
41012254300029,410122543,00029
52404616600038,524046166,00038
77572845400205,775728454,00205
78071405100031,780714051,00031
